RUNNER WEIGHT,MODEL,CUSOMER,MOULD NAME,RM NAME,RAW MATERIAL GRADE,P.WEIGHT,SHORT WEIGHT,CYCLE TIME,UPH,NO OF CAVITY
0.0042,BN7I,VICTORA,MEMBER COVER RHD _BN7I,PA6+GF40,B3WG8 BK20560,0.0258,0.0558,36,100,2
0.0065,SP2I KY,VICTORA,COVER COMMON_SP2I,PA6+GF40,B3WG8 BK20561,0.0349,0.0763,40,90,2
0.0132,BN7I,VICTORA,ARM ACCEL RHD_BN7I,PA6+GF40,B3WG8 BK20560,0.127,0.2671,60,60,2
0.0125,BN7I,VICTORA,MEMBER ACCEL RHD_BN7I,PA6+GF40,B3WG8 BK20560,0.1327,0.2779,60,60,2
0.0042,BN7I,VICTORA,MEMBER COVER LHD _BN7I,PA6+GF40,B3WG8 BK20560,0.0254,0.0551,36,100,2
0.0128,BN7I,VICTORA,ARM ACCEL LHD_BN7I,PA6+GF40,B3WG8 BK20560,0.1295,0.2718,60,60,2
0.032,BN7I,VICTORA,MEMBER ACCEL LHD_BN7I,PA6+GF40,B3WG8 BK20560,0.123,0.278,60,60,2
0.0226,SP2I KY,VICTORA,ARM ACCEL RHD_SP2I,PA6+GF40,B3WG8 BK20561,0.1576,0.3379,60,60,2
0.0373,SP2I KY,VICTORA,MEMBER ACCEL RHD_SP2I,PA6+GF40,B3WG8 BK20562,0.1783,0.3939,60,60,2
0.0261,QU2I,VICTORA,ARM ACCEL RHD_QU2I,PA6+GF40,B3WG8 BK20560_IND,0.1216,0.2693,60,60,2
0.0279,QU2I,VICTORA,MEMBER ACCEL RHD_QU2I,PA6+GF40,B3WG8 BK20560_IND,0.1164,0.2606,60,60,2
0.029,SP3I,VICTORA,MEMBER ACCEL LHD_QU2I,PA6+GF40,B3WG8 BK20560_IND,0.142,0.313,70,51,2
